suite,treatment,scenario,condition_id,seed,sample_index,phase,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,nest_x,nest_y,nest_site_count,nest_site_visits,nest_quorum_events,nest_relocations,nest_relocation_active,nest_relocation_completed,nest_relocation_transports,nest_relocation_quorum,nest_relocation_target,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,traffic_contact_pairs,traffic_cross_task_contact_pairs,mean_contact_pairs,mean_cross_task_contact_pairs,task_switches,task_switch_rate,mean_move_per_tick,mean_trail_move_per_tick,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,egg_to_larva,larva_to_pupa,pupa_to_worker,brood_climate_losses,sensing_samples,detectable_sensing_samples,gradient_aligned_turns,gradient_alignment_ratio,mean_abs_side_contrast,mean_abs_turn,mean_turn_contrast_product,food_trips,high_quality_food_trips,low_quality_food_trips,high_quality_food_collected,low_quality_food_collected,food_quality_collected,avg_collected_food_quality,food_recruitments,high_quality_food_remaining,low_quality_food_remaining,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone,queen_health_mean,queen_energy_mean,queen_hydration_mean,queen_reserve_mean,queen_states,elapsed_ms
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,0,initial,0,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,3564787555,lasius,4,420,120,110,80,10,26,58,45,25,85,55,12,420,1,282,94,44,20,42,8,70,0,0,0,70,70,0,0,0,86,85,0.0496,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,31,25,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,282,0,0,94,0,44,0,326,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,100,96,96,240,founding,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,1,simulation,0.25,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,1787987881,lasius,4,420,120,110,80,10,26,58,45,25,85,55,12,420,1,282,94,44,20,39,11,70,0,0,0,49,40,0,0,0,86,87,0.0876,0.0496,0.546,0.645,22,3.93,20,1794,444,5123,2568.32,282,1128,5.3415,10.9339,0,0,31,256,25.1,66.9,0.03,0,3,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,376,0,44,0,0,0,0,0,0,328,0,0,0,44,0,0,0,0,336,0,0,0,100,96.03617999999992,96.09107999999993,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,2,simulation,0.5,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,2693593328,lasius,4,421,120,110,80,10,26,58,45,25,85,55,12,421,1,283,94,44,18,41,10,69,0,0,0,33,21,0,0,0,86,89,0.0722,0.0496,0.311,0.388,12,2.54,13,770,215,3126.9,1433.1,296,592,6.3464,10.1955,0,0,62,184,25.2,66,0.05,2,3,1,0,3218,2,2,1,0.1392,0.0491,0.00704,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,13,0,364,0,44,0,9,0,0,0,0,215,0,0,0,44,1,0,0,0,365,0,0,0,100,96.07235999999983,96.04607999999986,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,3,simulation,0.75,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,1588919055,lasius,4,421,120,110,80,10,26,58,45,25,85,55,12,421,1,283,94,44,18,41,10,69,0,0,0,23,9,2,0,0,86,89,0.0653,0.0496,0.223,0.27,10,2.25,6,536,297,2297.613,1041.72,428,570.667,6.9214,9.9511,2,0.682,45,140,25.2,65.1,0.07,2,3,1,0,6351,735,735,1,0.1677,0.0561,0.01425,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,143,2,232,0,44,0,102,0,0,2,0,142,0,0,0,44,4,0,230,0,4284,0,0,0,100,96.02285999999975,96.00107999999979,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,4,simulation,1,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,3499303397,lasius,4,422,120,110,80,10,26,58,45,25,85,55,12,422,1,284,94,44,17,41,10,68,0,0,0,14,0,7,3,0,86,89,0.0607,0.0495,0.161,0.194,10,1.87,4,424,255,1842.54,849.2,542,542,7.3209,9.956,7,0.666,65,110,25.3,64.4,0.09,3,4,2,0,8378,2250,2249,1,0.1574,0.0566,0.01482,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,1,246,11,120,0,44,0,197,6,0,7,3,75,0,0,0,44,4,0,2163,333,12942,0,0,0,100,96.05903999999967,96.09215999999972,240,resting,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,5,simulation,1.25,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,1430670873,lasius,4,422,120,110,80,10,26,58,45,25,85,55,12,422,1,284,94,44,13,45,10,68,0,0,0,10,0,14,19,0,86,89,0.0547,0.0495,0.077,0.089,6,1.64,0,264,142,1539.672,715.56,569,455.2,7.6747,9.8906,14,0.671,85,74,25.3,63.6,0.11,7,4,2,0,10390,3943,3935,0.998,0.1743,0.0674,0.02137,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,269,13,96,0,44,0,200,17,5,14,19,79,0,0,0,44,1,0,8844,2846,22530,0,0,127,100,96.00953999999959,96.04715999999965,240,resting,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,6,simulation,1.5,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,3190013152,lasius,4,423,120,110,80,10,26,58,45,25,85,55,12,423,1,285,94,44,13,44,10,67,0,0,0,4,6,30,34,0,86,89,0.0524,0.0495,0.052,0.077,6,1.57,0,245,95,1324.927,617.273,575,383.333,7.9555,9.8192,30,0.673,92,51,25.3,64,0.1,7,5,3,0,13690,6950,6915,0.995,0.196,0.0797,0.02853,0,0,0,0,0,0,0,0,488,0,4,4,0,13,0,2.667,0,0,1,275,9,94,0,44,0,156,25,23,30,34,64,0,0,0,44,0,0,20461,8570,28470,0,0,895,100,96.0457199999995,96.00215999999958,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,7,simulation,1.75,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,2682497217,lasius,4,423,120,110,80,10,26,58,45,25,85,55,12,423,1,285,94,44,13,43,11,67,0,0,0,22,10,41,49,0,86,89,0.0527,0.0495,0.062,0.113,7,1.62,3,304,126,1175.92,546.606,596,340.571,8.1364,9.7157,72,0.583,94,61,25.4,64,0.11,7,6,3,0,19345,12367,12255,0.991,0.2076,0.0872,0.03258,5,5,0,24,0,34,1.4,37,435,0,7,12,24,26,2.857,4,0,0,0,281,5,93,0,44,0,121,46,0,41,49,52,0,0,0,44,0,0,34851,20401,30688,0,0,2750,100,96.08189999999942,96.09323999999951,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,8,simulation,2,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,420343004,lasius,4,423,120,110,80,10,26,58,45,25,85,55,12,423,1,285,94,44,13,42,12,67,0,0,0,58,56,42,37,0,86,90,0.0537,0.0495,0.075,0.117,7,1.67,1,302,149,1066.27,494.895,735,367.5,8.2616,9.6479,108,0.501,83,63,25.4,64.1,0.1,7,7,3,0,27174,19980,19791,0.991,0.2023,0.0864,0.03124,13,12,0,65,0,94,1.382,99,411,0,19,32,68,81,6.5,9.5,0,0,0,172,2,205,0,44,0,51,12,0,42,37,72,0,0,0,44,0,0,52933,29583,28348,0,0,4797,100,96.03239999999934,96.04823999999944,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,9,simulation,2.25,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,4191836879,lasius,4,424,120,110,80,10,26,58,45,25,85,55,12,424,1,286,94,44,12,43,11,66,0,0,0,103,100,33,27,0,87,91,0.0553,0.0496,0.094,0.141,9,1.71,1,338,132,985.084,456.898,840,373.333,8.3469,9.6257,135,0.493,81,81,25.3,64.4,0.1,8,7,4,0,36902,29594,29330,0.991,0.1849,0.0792,0.02661,23,18,0,95,0,159,1.314,184,404,0,29,52,121,133,10.222,12.889,0,0,0,122,1,257,0,44,0,25,3,0,33,27,97,0,0,0,44,1,0,60431,32303,20758,0,0,5110,100,96.06857999999926,96.00323999999937,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,10,simulation,2.5,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,1344252331,lasius,4,424,120,110,80,10,26,58,45,25,85,55,12,424,1,286,94,44,13,43,11,67,0,0,0,101,104,32,24,0,87,91,0.0576,0.0496,0.128,0.197,8,1.93,3,404,124,925.272,426.844,897,358.8,8.3976,9.5958,107,0.433,69,96,25.3,64.9,0.09,8,7,4,0,47082,39693,39387,0.992,0.1762,0.0753,0.02404,24,18,0,95,0,165,1.299,192,404,0,32,56,127,145,9.6,12.8,0,0,0,70,1,309,0,44,0,5,5,0,32,24,150,0,0,0,44,1,0,61661,32178,15076,0,0,5081,100,96.07587999999915,96.03863999999933,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,11,simulation,2.75,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,3862158581,lasius,4,424,120,110,80,10,26,58,45,25,85,55,12,424,1,286,94,44,12,44,11,67,0,0,0,125,113,25,20,0,87,91,0.0595,0.0496,0.156,0.241,11,2.02,6,489,201,883.356,402.662,925,336.364,8.412,9.557,138,0.448,52,102,25.3,65.1,0.08,9,7,4,0,55821,48315,47982,0.993,0.1686,0.0716,0.02184,31,25,0,129,0,213,1.32,252,404,0,36,67,161,164,11.273,13.091,0,0,0,94,1,285,0,44,0,16,0,0,25,20,144,0,0,0,44,3,0,58585,30862,10924,0,0,4279,100,96.02637999999907,96.12971999999927,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,12,simulation,3,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,3521058216,lasius,4,425,120,110,80,10,26,58,45,25,85,55,12,425,1,286,94,45,12,43,11,66,0,0,0,135,112,21,19,0,87,92,0.0573,0.0495,0.122,0.169,7,1.88,1,368,127,844.79,381.617,979,326.333,8.4391,9.5509,134,0.416,67,87,25.3,65.3,0.08,9,8,5,0,64823,56894,56505,0.993,0.1663,0.0702,0.02088,35,28,0,142,0,237,1.316,286,404,0,37,72,180,171,11.667,12.333,0,0,0,66,1,313,0,45,0,7,1,0,21,19,159,0,0,0,45,0,0,55463,29031,8506,0,0,4252,100,96.06255999999898,96.0847199999992,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,13,simulation,3.25,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,2742474043,lasius,4,425,120,110,80,10,26,58,45,25,85,55,12,425,1,286,94,45,11,44,11,66,0,0,0,128,103,20,19,0,87,92,0.0594,0.0495,0.151,0.229,9,2.03,8,471,128,813.708,362.031,998,307.077,8.4548,9.5339,130,0.38,64,105,25.3,65.4,0.07,10,8,5,0,72274,63574,63174,0.994,0.1638,0.0688,0.02003,36,29,0,145,0,241,1.317,293,404,0,37,73,183,171,11.077,11.385,0,0,0,53,1,326,0,45,0,4,2,0,20,19,171,0,0,0,45,0,0,51487,27374,6105,0,0,3280,100,96.0130599999989,96.03971999999912,240,laying eggs,638
actual_biology_simulation_v1,baseline,stable_mature,baseline:stable_mature,101,14,simulation,3.5,0.6-general-behavior-rules,provisional_behavioral_units,20,60,38,3.6,600,390,0,0,0,0,0,0,0,0,,86400,3052229121,lasius,4,425,120,110,80,10,26,58,45,25,85,55,12,425,1,286,94,45,10,44,12,66,0,0,0,126,113,18,15,0,88,92,0.0606,0.0495,0.164,0.244,7,2.07,6,487,116,788.789,345.497,1022,292,8.4619,9.5256,130,0.388,61,120,25.3,65.4,0.07,11,9,5,0,78516,68400,67987,0.994,0.161,0.0672,0.01921,38,31,0,156,0,256,1.322,311,404,0,41,79,194,191,10.857,11.714,0,0,0,45,1,334,0,45,0,3,0,0,18,15,193,0,0,0,45,1,0,48490,25256,4433,0,0,2427,100,96.04923999999882,96.13079999999906,240,laying eggs,638
