index,title,year,authors,venue,doi,url,categories,readiness,test_mapping,source_query,relevance_score,cited_by_crossref
1,Modeling tropotaxis in ant colonies: recruitment and trail formation,2018,Ramirez et al.,arXiv,10.48550/arxiv.1811.00590,https://arxiv.org/abs/1811.00590,pheromone_trail_foraging;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe,seed,24,
2,"A Model for Foraging Ants, Controlled by Spiking Neural Networks and Double Pheromones",2015,Jimenez-Romero et al.,arXiv,10.48550/arxiv.1507.08467,https://arxiv.org/abs/1507.08467,pheromone_trail_foraging;networks_interactions;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe,seed,24,
3,A continuous model of ant foraging with pheromones and trail formation,2014,Amorim,arXiv,10.48550/arxiv.1402.5611,https://arxiv.org/abs/1402.5611,pheromone_trail_foraging;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe,seed,24,
4,A stochastic model of ant trail following with two pheromones,2015,"Malickova, Yates & Bodova",arXiv,10.48550/arxiv.1508.06816,https://arxiv.org/abs/1508.06816,pheromone_trail_foraging;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe,seed,22,
5,Trafficlike collective movement of ants on trails: absence of a jammed phase,2009,John et al.,Physical Review Letters / arXiv,10.1103/physrevlett.102.108001,https://arxiv.org/abs/0903.2717,pheromone_trail_foraging;traffic_collective_motion,direct_or_near_term,existing_or_extend_trail_probe;existing_traffic_density_probe,seed,22,
6,Applying Social Network Analysis to Agent-Based Models: A Case Study of Task Allocation in Swarm Robotics Inspired by Ant Foraging Behavior,2019,"Georgina Montserrat Reséndiz-Benhumea, Tom Froese, Gabriel Ramos-Fernández, Sandra E. Smith-Aguilar",The 2019 Conference on Artificial Life,10.1162/isal_a_00229,https://doi.org/10.1162/isal_a_00229,pheromone_trail_foraging;task_allocation_division_labor;networks_interactions;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe;existing_task_demand_probe,ant social insect network task allocation,20,3
7,Modeling no-jam traffic in ant trails: a pheromone-controlled approach,2018,"Ning Guo, Mao-Bin Hu, Rui Jiang, Jianxun Ding, et al.",Journal of Statistical Mechanics: Theory and Experiment,10.1088/1742-5468/aabfc7,https://doi.org/10.1088/1742-5468/aabfc7,pheromone_trail_foraging;traffic_collective_motion;food_quality_choice;networks_interactions;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe;existing_traffic_density_probe;needs_food_quality_resource_model,ant double bridge experiment pheromone,20,3
8,Optimal and Resilient Pheromone Utilization in Ant Foraging,2015,"Afek, Kecher & Sulamy",arXiv,10.48550/arxiv.1507.00772,https://arxiv.org/abs/1507.00772,pheromone_trail_foraging,direct_or_near_term,existing_or_extend_trail_probe,seed,20,
9,Optimal traffic organisation in ants under crowded conditions,2004,Dussutour et al.,Nature,10.1038/nature02585,https://arxiv.org/abs/cond-mat/0403142,traffic_collective_motion,direct_or_near_term,existing_traffic_density_probe,seed,20,
10,Phase Transitions in Ant Traffic Driven by Density-Dependent Pheromone Feedback,2026,"Ozhan Kayacan, Salih Yalcinbas",Elsevier BV,10.2139/ssrn.6619462,https://doi.org/10.2139/ssrn.6619462,pheromone_trail_foraging;traffic_collective_motion;necrophoresis_social_immunity;computational_swarm_model,direct_or_near_term,existing_or_extend_trail_probe;existing_traffic_density_probe;extend_corpse_cleanup_probe,ant foraging pheromone model,18,0
