index,title,year,doi,url,categories,scope,status,verdict,matched_condition,evidence_paper_id,gap
1,Modeling tropotaxis in ant colonies: recruitment and trail formation,2018,10.48550/arxiv.1811.00590,https://arxiv.org/abs/1811.00590,pheromone_trail_foraging;computational_swarm_model,exact_paper_condition,pass,aligned_qualitative,tropotaxis_gradient_response_proxy,ramirez_2018,The model uses left/right/front sampling and exports gradient-turn plus segment-flow metrics; exact tropotaxis equation fitting still needs digitized paper trajectories.
2,"A Model for Foraging Ants, Controlled by Spiking Neural Networks and Double Pheromones",2015,10.48550/arxiv.1507.08467,https://arxiv.org/abs/1507.08467,pheromone_trail_foraging;networks_interactions;computational_swarm_model,exact_paper_condition,pass,aligned_qualitative,negative_pheromone_forbidden_path,jimenez_romero_2015,"The simulator now pairs avoid pheromone with short-term individual avoid memory, but it is still an ABM rule rather than the paper's spiking-neural-controller implementation."
3,A continuous model of ant foraging with pheromones and trail formation,2014,10.48550/arxiv.1402.5611,https://arxiv.org/abs/1402.5611,pheromone_trail_foraging;computational_swarm_model,exact_paper_condition,pass,aligned_qualitative,rain_food_removal_washout,amorim_2014,"Trail formation and decay are represented, but the simulator is an ABM with heuristic field units rather than Amorim's calibrated PDE chemotaxis variables."
4,A stochastic model of ant trail following with two pheromones,2015,10.48550/arxiv.1508.06816,https://arxiv.org/abs/1508.06816,pheromone_trail_foraging;computational_swarm_model,exact_paper_condition,pass,aligned_qualitative,two-cue adaptation proxy,malickova_2015,"The simulator separates food/nest/water fields, but it is not yet the exact two-pheromone mathematical model and lacks direct synchronization metrics."
5,Trafficlike collective movement of ants on trails: absence of a jammed phase,2009,10.1103/physrevlett.102.108001,https://arxiv.org/abs/0903.2717,pheromone_trail_foraging;traffic_collective_motion,exact_paper_condition,pass,aligned_qualitative,no_jam_density_speed,john_2009,The validation now uses segment-level speed/flow-density metrics. It still lacks calibrated body-contact rules and digitized no-jam flow curves.
6,Applying Social Network Analysis to Agent-Based Models: A Case Study of Task Allocation in Swarm Robotics Inspired by Ant Foraging Behavior,2019,10.1162/isal_a_00229,https://doi.org/10.1162/isal_a_00229,pheromone_trail_foraging;task_allocation_division_labor;networks_interactions;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,task_demand_reallocation,kang_theraulaz_2015,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
7,Modeling no-jam traffic in ant trails: a pheromone-controlled approach,2018,10.1088/1742-5468/aabfc7,https://doi.org/10.1088/1742-5468/aabfc7,pheromone_trail_foraging;traffic_collective_motion;food_quality_choice;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
8,Optimal and Resilient Pheromone Utilization in Ant Foraging,2015,10.48550/arxiv.1507.00772,https://arxiv.org/abs/1507.00772,pheromone_trail_foraging,exact_paper_condition,pass,aligned_qualitative,fail_stop_foraging_resilience,afek_2015,"Afek et al. is an algorithmic pheromone model; this ABM only tests biological-style degradation, not asymptotic pheromone lower bounds or proof-level optimality."
9,Optimal traffic organisation in ants under crowded conditions,2004,10.1038/nature02585,https://arxiv.org/abs/cond-mat/0403142,traffic_collective_motion,exact_paper_condition,pass,aligned_qualitative,crowding_bridge_density_shift,dussutour_2004,"The model now exports segment-level density, speed and flow. It still lacks explicit antennal-contact mechanics and lane-discipline calibration from crowded trail experiments."
10,Phase Transitions in Ant Traffic Driven by Density-Dependent Pheromone Feedback,2026,10.2139/ssrn.6619462,https://doi.org/10.2139/ssrn.6619462,pheromone_trail_foraging;traffic_collective_motion;necrophoresis_social_immunity;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,necrophoresis_cleanup_latency,avanzi_2024,"Corpse cleanup is now testable, but generic corpse-management papers still need corpse-age chemistry, pathogen state and interaction-network validation."
11,Hacking the Colony: On the Disruptive Effect of Misleading Pheromone and How to Defend Against It,2022,10.48550/arxiv.2202.01808,https://arxiv.org/abs/2202.01808,misleading_negative_pheromone;pheromone_trail_foraging,exact_paper_condition,pass,aligned_qualitative,misleading_pheromone_attack_and_caution,aswale_2022,"The probe now uses sustained external fake-pheromone perturbation and generic avoid learning, but still lacks explicit attacker agents and calibrated attack/defense effect sizes."
12,Diverse Stochasticity Leads a Colony of Ants to Optimal Foraging,2018,10.48550/arxiv.1805.05598,https://arxiv.org/abs/1805.05598,pheromone_trail_foraging,exact_paper_condition,pass,aligned_qualitative,stochasticity_relocation,shiraishi_2018,The current check measures relative relocation adaptation. It does not yet fit the paper's environment-dependent optimal stochasticity distribution.
13,Individual rules for trail pattern formation in Argentine ants (Linepithema humile),2012,10.1371/journal.pcbi.1002592,https://arxiv.org/abs/1201.5827,pheromone_trail_foraging,exact_paper_condition,pass,aligned_qualitative,single_food_trail,perna_2012,"Trail reinforcement, local gradient-turn logging and segment-level traffic metrics are now available; Weber-law curve fitting still needs digitized reference curves before quantitative fitting can be claimed."
14,Heterogeneous multi-agent task allocation based on graph neural network ant colony optimization algorithms,2023,10.20517/ir.2023.33,https://doi.org/10.20517/ir.2023.33,task_allocation_division_labor;networks_interactions;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,task_demand_reallocation,kang_theraulaz_2015,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
15,Small differences in learning speed for different food qualities can drive efficient collective foraging in ant colonies,2018,10.1101/274209,https://doi.org/10.1101/274209,pheromone_trail_foraging;food_quality_choice;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
16,Analysis of Cooperative Perception in Ant Traffic and Its Effects on Transportation System by Using a Congestion-Free Ant-Trail Model,2021,10.3390/s21072393,https://doi.org/10.3390/s21072393,pheromone_trail_foraging;traffic_collective_motion;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
17,A Pheromone-Based Utility Model for Collaborative Foraging,2004,10.65109/aoay8418,https://doi.org/10.65109/aoay8418,pheromone_trail_foraging;food_quality_choice;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
18,A Pheromone-Based Utility Model for Collaborative Foraging,2004,10.65109/ivir1553,https://doi.org/10.65109/ivir1553,pheromone_trail_foraging;food_quality_choice;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,food_quality_recruitment,jackson_chaline_2007,"Food-quality recruitment is now testable, but generic corpus papers still need species-specific concentration, distance and trail-laying calibration."
19,Development of Task Allocation Method for Swarm Robotic Systems Using Optimal Foraging Theory and Ant Colony Labor Division Model,2021,10.1299/jsmermd.2021.1p2-f03,https://doi.org/10.1299/jsmermd.2021.1p2-f03,pheromone_trail_foraging;task_allocation_division_labor;computational_swarm_model,algorithmic_or_robotics_analogy,not_biological_target,not_a_direct_biology_validation,task_demand_reallocation,kang_theraulaz_2015,"This is an algorithmic, robotics or ACO-inspired paper. It may inspire simulation tests, but the ant biology simulator should not be judged as reproducing its engineering objective function."
20,Dynamical models of task organization in social insect colonies,2015,10.48550/arxiv.1511.04769,https://arxiv.org/abs/1511.04769,task_allocation_division_labor;computational_swarm_model,exact_paper_condition,pass,aligned_qualitative,task_demand_reallocation,kang_theraulaz_2015,"The model has response-threshold-like task switching and exports switch rates/contact summaries, but it still lacks calibrated worker-worker contact matrices."
21,"Energetics of Trail Running, Load Carriage, and Emigration in the Column-Raiding Army Ant Eciton hamatum",1988,10.1086/physzool.61.1.30163737,https://doi.org/10.1086/physzool.61.1.30163737,pheromone_trail_foraging;nest_relocation_house_hunting;army_ant_raids_mills,category_proxy,partial,covered_by_generic_proxy,ant_mill/death_spiral qualitative probe,literature_alignment_probe,"Death spiral and army-ant-like trails are qualitative; raid geometry, living bridges and species-specific energetics need new conditions."
22,Spatiotemporal chemotactic model for ant foraging,2014,10.1142/s0217984914502388,https://doi.org/10.1142/s0217984914502388,pheromone_trail_foraging;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
23,Trail traffic flow prediction by contact frequency among individual ants,2013,10.1007/s11721-013-0085-8,https://doi.org/10.1007/s11721-013-0085-8,pheromone_trail_foraging;traffic_collective_motion;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
24,Congestion-Free Ant Traffic: Jam Absorption Mechanism in Multiple Platoons,2019,10.3390/app9142918,https://doi.org/10.3390/app9142918,pheromone_trail_foraging;traffic_collective_motion;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
25,Interactions and information: Exploring task allocation in ant colonies using network analysis,2021,10.1101/2021.03.29.437501,https://doi.org/10.1101/2021.03.29.437501,pheromone_trail_foraging;traffic_collective_motion;task_allocation_division_labor;networks_interactions,category_proxy,partial,covered_by_generic_proxy,crowding_bridge_density_shift + no_jam_density_speed,dussutour_2004/john_2009,"Traffic direction is covered, but paper-specific validation needs segment-level flow-density and speed curves."
26,The Neuro-ethology of Collective Decision-Making in Ant Colonies: A Case Study on Formica Rufa,2025,10.61877/ijmrp.v3i9.303,https://doi.org/10.61877/ijmrp.v3i9.303,pheromone_trail_foraging;networks_interactions;computational_swarm_model,category_proxy,partial,covered_by_generic_proxy,single_food_trail,perna_2012,"Generic trail formation is covered, but paper-specific curve fitting usually needs individual trajectories, local gradients or digitized reference data."
27,"Modulation of pheromone trail strength with food quality in Pharaoh's ant, Monomorium pharaonis",2007,10.1016/j.anbehav.2006.11.027,https://doi.org/10.1016/j.anbehav.2006.11.027,pheromone_trail_foraging;food_quality_choice,exact_paper_condition,pass,aligned_qualitative,food_quality_recruitment,jackson_chaline_2007,"The simulator now has food quality and quality-weighted recruitment, but it still lacks species-specific sucrose concentration calibration and direct trail-laying event counts."
