seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,0.5,initial_food,960,180,3,11,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,208245829,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,36,1973,55,0,0,85,88,0.0189,0.018,0.062,0.157,10,1.58,3,55,0.665,238,0,25.6,61.5,0.18,3,0,3,11,0,1.5,0,0,0,56,148,0,0,0,36,0,94,54,0,55,0,0,0,0,0,36,0,0,43108,0,27108,0,0,0
1,low,240,2,2,0.5,relocated_early,220,620,0,0,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,87121190,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,31,1966,61,0,0,85,89,0.0227,0.018,0.169,0.267,11,1.61,4,61,0.665,219,0,25.7,60.7,0.2,3,0,3,11,0,1.2,0,0,0,15,189,0,0,0,36,0,70,72,0,61,0,0,0,0,0,36,0,0,43338,0,25005,0,0,0
1,low,240,2,2,0.5,relocated_late,220,620,61,297,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2212577315,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,310,1946,17,0,0,88,91,0.0244,0.018,0.185,0.241,12,1.94,5,28,0.549,209,0,25.9,59.2,0.24,64,0,64,308,0,16,0,0,0,193,11,0,0,0,36,0,20,165,0,17,0,0,0,0,0,36,0,0,46686,0,22182,0,0,0
1,low,240,2,2,0.5,relocated_total,220,620,61,297,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2212577315,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,310,1946,17,0,0,88,91,0.0244,0.018,0.185,0.241,12,1.94,5,28,0.549,209,0,25.9,59.2,0.24,64,0,64,308,0,16,0,0,0,193,11,0,0,0,36,0,20,165,0,17,0,0,0,0,0,36,0,0,46686,0,22182,0,0,0
2,low,240,2,2,0.5,initial_food,960,180,6,30,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3737709703,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,56,1977,38,0,0,86,88,0.0183,0.018,0.033,0.061,6,1.38,0,38,0.668,240,0,25.6,61.5,0.18,6,0,6,30,0,3,0,0,0,196,7,0,0,0,37,0,109,52,0,38,0,0,0,0,0,37,0,0,32567,0,29147,0,0,0
2,low,240,2,2,0.5,relocated_early,220,620,8,35,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2627019159,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,88,1973,34,0,0,86,88,0.0205,0.018,0.091,0.068,6,1.47,0,40,0.634,236,0,25.7,60.7,0.2,14,0,14,65,0,5.6,0,0,0,198,5,0,0,0,37,0,74,93,0,34,0,0,0,0,0,37,0,1,43126,0,28200,0,0,0
2,low,240,2,2,0.5,relocated_late,220,620,38,184,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,682485051,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,256,1952,17,0,0,88,90,0.0245,0.018,0.186,0.279,10,1.86,5,20,0.66,206,0,25.9,59.2,0.24,52,0,52,249,0,13,0,0,0,203,0,0,0,0,37,0,53,131,0,17,0,0,0,0,0,37,0,0,28038,0,25342,0,0,0
2,low,240,2,2,0.5,relocated_total,220,620,46,219,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,682485051,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,256,1952,17,0,0,88,90,0.0245,0.018,0.186,0.279,10,1.86,5,20,0.66,206,0,25.9,59.2,0.24,52,0,52,249,0,13,0,0,0,203,0,0,0,0,37,0,53,131,0,17,0,0,0,0,0,37,0,0,28038,0,25342,0,0,0
3,low,240,2,2,0.5,initial_food,960,180,3,14,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2539956719,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,40,1974,64,0,0,86,88,0.0201,0.018,0.1,0.21,10,1.7,5,65,0.655,235,0,25.6,61.5,0.18,3,0,3,14,0,1.5,0,0,0,82,129,0,0,0,29,0,87,56,0,64,0,0,0,0,0,29,0,0,41472,0,27928,0,0,0
3,low,240,2,2,0.5,relocated_early,220,620,21,105,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,371188563,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,140,1966,49,0,0,87,89,0.0252,0.018,0.229,0.311,14,1.79,5,63,0.605,204,0,25.7,60.7,0.2,24,0,24,119,0,9.6,0,0,0,174,37,0,0,0,29,0,58,100,0,49,0,0,0,0,0,29,0,2,42824,0,24958,0,0,0
3,low,240,2,2,0.5,relocated_late,220,620,64,318,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,462729254,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,445,1945,31,0,0,89,91,0.0247,0.018,0.201,0.311,10,1.89,7,41,0.592,198,0,25.9,59.2,0.24,88,0,88,437,0,22,0,0,0,208,3,0,0,0,29,0,52,124,0,31,0,0,0,0,0,29,0,0,34456,0,23393,0,0,0
3,low,240,2,2,0.5,relocated_total,220,620,85,423,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,462729254,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,445,1945,31,0,0,89,91,0.0247,0.018,0.201,0.311,10,1.89,7,41,0.592,198,0,25.9,59.2,0.24,88,0,88,437,0,22,0,0,0,208,3,0,0,0,29,0,52,124,0,31,0,0,0,0,0,29,0,0,34456,0,23393,0,0,0
