seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,initial_food,960,180,0,0,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2389598119,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,29,1983,27,0,0,85,87,0.018,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,1,205,0,0,0,34,0,122,53,0,27,0,0,0,0,0,34,22738,0,31150,0,0,0
1,low,240,2,2,relocated_food,220,620,47,245,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3092649546,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,248,1952,18,0,0,88,90,0.018,240,0,25.9,59.2,0.24,47,0,47,245,0,11.75,0,0,0,205,1,0,0,0,34,0,36,133,0,18,0,0,0,0,0,34,26644,0,26538,0,0,0
2,low,240,2,2,initial_food,960,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,989911047,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1980,44,0,0,85,88,0.018,240,0,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,198,6,0,0,0,36,0,85,72,0,44,0,0,0,0,0,36,39359,0,28975,0,0,0
2,low,240,2,2,relocated_food,220,620,43,198,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3487476867,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,250,1959,19,0,0,87,89,0.018,240,0,25.9,59.2,0.24,50,0,50,236,0,12.5,0,0,0,202,2,0,0,0,36,0,18,152,0,19,0,0,0,0,0,36,44684,0,28950,0,0,0
3,low,240,2,2,initial_food,960,180,1,5,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4009662904,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,33,1980,57,0,0,85,88,0.018,240,0,25.6,61.5,0.18,1,0,1,5,0,0.5,0,0,0,35,182,0,0,0,23,0,91,68,0,57,0,0,0,0,0,23,42784,0,30191,0,0,0
3,low,240,2,2,relocated_food,220,620,66,336,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2548880014,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,346,1953,14,0,0,89,90,0.018,240,0,25.9,59.2,0.24,67,0,67,341,0,16.75,0,0,0,217,0,0,0,0,23,0,110,79,0,14,0,0,0,0,0,23,18361,0,30182,0,0,0
1,medium,240,2,2,initial_food,960,180,7,35,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2775918439,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,63,1979,28,0,0,85,88,0.055,0,0,25.6,61.5,0.18,7,0,7,35,0,3.5,0,0,0,192,14,0,0,0,34,0,122,54,0,28,0,0,0,0,0,34,29592,0,30631,0,0,0
1,medium,240,2,2,relocated_food,220,620,26,128,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,249901576,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,175,1959,49,0,0,86,89,0.055,0,0,25.9,59.2,0.24,33,0,33,163,0,8.25,0,0,0,198,8,0,0,0,34,0,70,77,0,49,0,0,0,0,0,34,60674,0,26483,0,0,0
2,medium,240,2,2,initial_food,960,180,10,53,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3355673829,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,82,1979,27,0,0,86,88,0.055,0,0,25.6,61.5,0.18,10,0,10,53,0,5,0,0,0,199,5,0,0,0,36,0,140,33,0,27,0,0,0,0,0,36,24652,0,30613,0,0,0
2,medium,240,2,2,relocated_food,220,620,14,67,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1222279339,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,135,1959,51,0,0,86,89,0.055,0,0,25.9,59.2,0.24,24,0,24,120,0,6,0,0,0,200,4,0,0,0,36,0,60,88,0,51,0,0,0,0,0,36,64433,0,27190,0,0,0
