seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,initial_food,960,180,0,0,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2389598119,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,29,1983,27,0,0,85,87,0.018,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,1,205,0,0,0,34,0,122,53,0,27,0,0,0,0,0,34,22738,0,31150,0,0,0
1,low,240,2,2,relocated_food,960,600,38,196,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1718920587,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,198,1950,0,0,0,88,91,0.018,240,0,25.9,59.2,0.24,38,0,38,196,0,9.5,0,0,0,206,0,0,0,0,34,0,44,144,0,0,0,0,0,0,0,34,16979,0,25357,0,0,0
2,low,240,2,2,initial_food,960,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,989911047,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1980,44,0,0,85,88,0.018,240,0,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,198,6,0,0,0,36,0,85,72,0,44,0,0,0,0,0,36,39359,0,28975,0,0,0
2,low,240,2,2,relocated_food,960,600,41,191,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,586809102,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,244,1959,9,0,0,86,89,0.018,240,0,25.9,59.2,0.24,48,0,48,229,0,12,0,0,0,203,1,0,0,0,36,0,24,152,0,9,0,0,0,0,0,36,36062,0,29765,0,0,0
3,low,240,2,2,initial_food,960,180,1,5,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4009662904,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,33,1980,57,0,0,85,88,0.018,240,0,25.6,61.5,0.18,1,0,1,5,0,0.5,0,0,0,35,182,0,0,0,23,0,91,68,0,57,0,0,0,0,0,23,42784,0,30191,0,0,0
3,low,240,2,2,relocated_food,960,600,67,339,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,824216662,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,348,1951,9,0,0,90,91,0.018,240,0,25.9,59.2,0.24,68,0,68,344,0,17,0,0,0,217,0,0,0,0,23,0,110,85,0,9,0,0,0,0,0,23,18487,0,30097,0,0,0
1,medium,240,2,2,initial_food,960,180,7,35,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2775918439,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,63,1979,28,0,0,85,88,0.055,0,0,25.6,61.5,0.18,7,0,7,35,0,3.5,0,0,0,192,14,0,0,0,34,0,122,54,0,28,0,0,0,0,0,34,29592,0,30631,0,0,0
1,medium,240,2,2,relocated_food,960,600,19,96,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3159423589,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,143,1957,23,0,0,86,89,0.055,0,0,25.9,59.2,0.24,26,0,26,131,0,6.5,0,0,0,199,7,0,0,0,34,0,74,95,0,23,0,0,0,0,0,34,42663,0,29260,0,0,0
2,medium,240,2,2,initial_food,960,180,10,53,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3355673829,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,82,1979,27,0,0,86,88,0.055,0,0,25.6,61.5,0.18,10,0,10,53,0,5,0,0,0,199,5,0,0,0,36,0,140,33,0,27,0,0,0,0,0,36,24652,0,30613,0,0,0
2,medium,240,2,2,relocated_food,960,600,27,132,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2368707103,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,200,1959,40,0,0,86,89,0.055,0,0,25.9,59.2,0.24,37,0,37,185,0,9.25,0,0,0,201,3,0,0,0,36,0,66,91,0,40,0,0,0,0,0,36,51192,0,27765,0,0,0
3,medium,240,2,2,initial_food,960,180,21,96,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2715957755,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,123,1979,31,0,0,87,88,0.055,0,0,25.6,61.5,0.18,21,0,21,96,0,10.5,0,0,0,211,6,0,0,0,23,0,124,57,0,31,0,0,0,0,0,23,29353,0,31925,0,0,0
3,medium,240,2,2,relocated_food,960,600,17,83,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4284699915,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,193,1957,35,0,0,87,90,0.055,0,0,25.9,59.2,0.24,38,0,38,179,0,9.5,0,0,0,213,4,0,0,0,23,0,75,102,0,35,0,0,0,0,0,23,49650,0,30220,0,0,0
1,high,240,2,2,initial_food,960,180,3,13,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2411935752,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,33,1969,9,0,0,86,90,0.105,0,240,25.6,61.5,0.18,3,0,3,13,0,1.5,0,0,0,7,199,0,0,0,34,0,0,0,0,9,0,0,0,0,0,34,8277,0,31091,0,0,0
1,high,240,2,2,relocated_food,960,600,15,80,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4060831553,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,105,1959,14,0,0,85,89,0.105,0,240,25.9,59.2,0.24,18,0,18,93,0,4.5,0,0,0,200,6,0,0,0,34,0,0,0,0,14,0,0,0,0,0,34,26458,0,31126,0,0,0
2,high,240,2,2,initial_food,960,180,2,12,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1966899573,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,33,1970,15,0,0,86,90,0.105,0,240,25.6,61.5,0.18,2,0,2,12,0,1,0,0,0,3,201,0,0,0,36,0,0,0,0,15,0,0,0,0,0,36,14718,0,30423,0,0,0
2,high,240,2,2,relocated_food,960,600,25,123,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3755830502,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,149,1961,18,0,0,86,89,0.105,0,240,25.9,59.2,0.24,27,0,27,135,0,6.75,0,0,0,198,6,0,0,0,36,0,0,0,0,18,0,0,0,0,0,36,28275,0,30741,0,0,0
3,high,240,2,2,initial_food,960,180,3,16,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,240369943,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,35,1971,9,0,0,87,89,0.105,0,240,25.6,61.5,0.18,3,0,3,16,0,1.5,0,0,0,37,180,0,0,0,23,0,0,0,0,9,0,0,0,0,0,23,10208,0,32573,0,0,0
3,high,240,2,2,relocated_food,960,600,22,108,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,17526634,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,137,1963,19,0,0,86,88,0.105,0,240,25.9,59.2,0.24,25,0,25,124,0,6.25,0,0,0,213,4,0,0,0,23,0,0,0,0,19,0,0,0,0,0,23,33980,0,32661,0,0,0
1,diverse,240,2,2,initial_food,960,180,2,7,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,151259330,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,34,1979,19,0,0,85,88,0.0604,72,72,25.6,61.5,0.18,2,0,2,7,0,1,0,0,0,20,186,0,0,0,34,0,100,24,0,19,0,0,0,0,0,34,14554,0,31655,0,0,0
1,diverse,240,2,2,relocated_food,960,600,12,55,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,725018925,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,78,1962,37,0,0,85,88,0.0604,72,72,25.9,59.2,0.24,14,0,14,62,0,3.5,0,0,0,183,23,0,0,0,34,0,39,69,0,37,0,0,0,0,0,34,54449,0,28892,0,0,0
2,diverse,240,2,2,initial_food,960,180,6,30,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3243466376,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,57,1977,19,0,0,86,89,0.0604,72,72,25.6,61.5,0.18,6,0,6,30,0,3,0,0,0,179,25,0,0,0,36,0,85,34,0,19,0,0,0,0,0,36,19551,0,30956,0,0,0
