seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,4,4,initial_food,250,180,81,405,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3198034408,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,419,1959,27,0,0,88,89,0.018,240,0,25.9,59.2,0.24,81,0,81,405,0,20.25,0,0,0,206,0,0,0,0,34,0,18,135,0,27,0,0,0,0,0,34,47187,0,28168,0,0,0
1,low,240,4,4,relocated_food,960,600,401,1948,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3171578716,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,2352,1925,0,0,0,94,90,0.0182,240,0,26,58.2,0.27,482,0,482,2353,0,60.25,0,0,0,207,0,0,0,0,34,0,129,78,0,0,0,0,0,0,0,34,7117,0,26022,0,0,0
2,low,240,4,4,initial_food,250,180,5,29,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4163339350,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,44,1960,112,0,0,85,89,0.018,240,0,25.9,59.2,0.24,5,0,5,29,0,1.25,0,0,0,68,136,0,0,0,36,0,17,71,0,112,0,0,0,0,0,36,66406,0,16904,0,0,0
2,low,240,4,4,relocated_food,960,600,314,1577,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1189594345,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,1,0,1,0,0,0,1601,1927,67,0,0,92,90,0.018,240,0,26,58.2,0.27,319,0,319,1606,0,39.875,0,0,0,204,0,0,0,0,36,0,72,51,0,67,0,0,0,0,0,36,22222,0,25885,0,0,0
3,low,240,4,4,initial_food,250,180,88,421,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4160224333,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,434,1959,62,0,0,89,89,0.018,240,0,25.9,59.2,0.24,88,0,88,421,0,22,0,0,0,216,1,0,0,0,23,0,43,97,0,62,0,0,0,0,0,23,41229,0,26990,0,0,0
3,low,240,4,4,relocated_food,960,600,363,1855,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,925624413,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,1,0,1,0,0,0,2275,1927,51,0,0,93,90,0.018,240,0,26,58.2,0.27,451,0,451,2276,0,56.375,0,0,0,217,0,0,0,0,23,0,81,83,0,51,0,0,0,0,0,23,17758,0,26875,0,0,0
4,low,240,4,4,initial_food,250,180,184,923,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3285131874,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,941,1957,77,0,0,92,90,0.018,240,0,25.9,59.2,0.24,184,0,184,923,0,46,0,0,0,211,1,0,0,0,28,0,16,111,0,77,0,0,0,0,0,28,61878,0,22843,0,0,0
4,low,240,4,4,relocated_food,960,600,182,920,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,22280474,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,1,0,1,0,0,0,1850,1926,62,0,0,92,91,0.018,240,0,26,58.2,0.27,366,0,366,1843,0,45.75,0,0,0,212,0,0,0,0,28,0,46,96,0,62,0,0,0,0,0,28,35936,0,26616,0,0,0
5,low,240,4,4,initial_food,250,180,114,570,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3411097992,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,584,1952,90,0,0,90,90,0.018,240,0,25.9,59.2,0.24,114,0,114,570,0,28.5,0,0,0,207,1,0,0,0,32,0,25,74,0,90,0,0,0,0,0,32,39435,0,22647,0,0,0
5,low,240,4,4,relocated_food,960,600,275,1363,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3713224169,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,1,1,0,0,0,1935,1925,62,0,0,91,90,0.018,240,0,26,58.2,0.27,389,0,389,1933,0,48.625,0,0,0,208,0,0,0,0,32,0,90,40,0,62,0,0,0,0,0,32,21209,0,27345,0,0,0
