seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,4,4,0.5,initial_food,960,180,110,531,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2817339345,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,539,1949,52,0,0,90,91,0.018,0.49,11,2.26,11,57,0.643,240,0,25.9,59.2,0.24,110,0,110,531,0,27.5,0,0,0,206,0,0,0,0,34,0,45,103,0,52,0,0,0,0,0,34,0,0,33236,0,19492,0,0,0
1,low,240,4,4,0.5,relocated_early,220,620,32,164,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3402885409,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,1,0,0,1,0,0,0,700,1943,22,0,0,90,91,0.018,0.284,15,1.71,5,36,0.514,240,0,25.9,59,0.25,142,0,142,695,0,31.556,0,0,0,206,0,0,0,0,34,0,59,121,0,22,0,0,0,0,0,34,0,3,26985,0,20885,0,0,0
1,low,240,4,4,0.5,relocated_late,220,620,48,250,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2941461061,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,936,1922,68,0,0,89,91,0.0182,0.291,13,1.8,5,80,0.616,240,0,26,58.2,0.27,190,0,190,945,0,23.75,0,0,0,207,0,0,0,0,34,0,64,70,0,68,0,0,0,0,0,34,0,0,44955,0,24190,0,0,0
1,low,240,4,4,0.5,relocated_total,220,620,80,414,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2941461061,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,936,1922,68,0,0,89,91,0.0182,0.291,13,1.8,5,80,0.616,240,0,26,58.2,0.27,190,0,190,945,0,23.75,0,0,0,207,0,0,0,0,34,0,64,70,0,68,0,0,0,0,0,34,0,0,44955,0,24190,0,0,0
2,low,240,4,4,0.5,initial_food,960,180,91,456,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,954756527,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,464,1953,31,0,0,90,91,0.018,0.438,18,2.16,9,42,0.594,240,0,25.9,59.2,0.24,91,0,91,456,0,22.75,0,0,0,200,4,0,0,0,36,0,44,127,0,31,0,0,0,0,0,36,0,0,37710,0,20807,0,0,0
2,low,240,4,4,0.5,relocated_early,220,620,23,115,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3137054038,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,1,0,0,1,0,0,0,575,1948,8,0,0,90,91,0.018,0.314,14,1.73,7,15,0.525,240,0,25.9,58.9,0.25,114,0,114,571,0,25.333,0,0,0,201,3,0,0,0,36,0,66,130,0,8,0,0,0,0,0,36,0,0,24862,0,22404,0,0,0
2,low,240,4,4,0.5,relocated_late,220,620,85,438,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,570222550,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,1,0,1,0,0,0,1007,1933,46,0,0,88,89,0.018,0.33,13,1.68,7,54,0.623,240,0,26,58.2,0.27,199,0,199,1009,0,24.875,0,0,0,204,0,0,0,0,36,0,106,51,0,46,0,0,0,0,0,36,0,0,23419,0,27102,0,0,0
2,low,240,4,4,0.5,relocated_total,220,620,108,553,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,570222550,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,1,0,1,0,0,0,1007,1933,46,0,0,88,89,0.018,0.33,13,1.68,7,54,0.623,240,0,26,58.2,0.27,199,0,199,1009,0,24.875,0,0,0,204,0,0,0,0,36,0,106,51,0,46,0,0,0,0,0,36,0,0,23419,0,27102,0,0,0
3,low,240,4,4,0.5,initial_food,960,180,4,19,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1049621923,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,18,1948,120,0,0,87,91,0.018,0.622,15,2.73,12,120,0.669,240,0,25.9,59.2,0.24,4,0,4,19,0,1,0,0,0,12,205,0,0,0,23,0,26,71,0,120,0,0,0,0,0,23,0,0,45197,0,15651,0,0,0
3,low,240,4,4,0.5,relocated_early,220,620,82,424,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3485410753,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,1,1,0,0,0,431,1940,39,0,0,91,92,0.018,0.551,23,2.42,9,87,0.462,240,0,25.9,59,0.25,86,0,86,443,0,19.111,0,0,0,181,36,0,0,0,23,0,34,132,0,39,0,0,0,0,0,23,0,11,34079,0,14537,0,0,0
3,low,240,4,4,0.5,relocated_late,220,620,113,568,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2313093556,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,1,1,0,0,0,983,1922,53,0,0,91,91,0.018,0.454,19,1.89,7,63,0.615,240,0,26,58.2,0.27,199,0,199,1011,0,24.875,0,0,0,217,0,0,0,0,23,0,80,82,0,53,0,0,0,0,0,23,0,0,25931,0,24814,0,0,0
3,low,240,4,4,0.5,relocated_total,220,620,195,992,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2313093556,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,1,1,0,0,0,983,1922,53,0,0,91,91,0.018,0.454,19,1.89,7,63,0.615,240,0,26,58.2,0.27,199,0,199,1011,0,24.875,0,0,0,217,0,0,0,0,23,0,80,82,0,53,0,0,0,0,0,23,0,0,25931,0,24814,0,0,0
