profile,phase,n,mean_phase_food_trips,mean_phase_food_collected,mean_avg_turn_noise,mean_avg_traffic_load,mean_traffic_max_cell,mean_ants_with_food_memory,mean_food_memory_strength,mean_food_pheromone,trips_vs_initial,collected_vs_initial
diverse,initial_food,8,25.375,127.5,0.0604,0.1492,8.375,49.875,0.579,49337.5,1.0,1.0
diverse,relocated_early,8,13.5,67.0,0.0604,0.1401,8.0,42.0,0.5621,44904.75,0.532,0.525
diverse,relocated_late,8,75.875,381.875,0.06039,0.1291,7.875,40.25,0.5546,38196.375,2.99,2.995
diverse,relocated_total,8,89.375,448.875,0.06039,0.1291,7.875,40.25,0.5546,38196.375,3.522,3.521
high,initial_food,8,16.875,84.875,0.105,0.0041,3.5,18.25,0.4682,28934.75,1.0,1.0
high,relocated_early,8,2.875,15.375,0.105,0.0039,3.625,26.75,0.4754,33883.375,0.17,0.181
high,relocated_late,8,45.5,226.0,0.10496,0.003,3.25,18.25,0.464,33692.625,2.696,2.663
high,relocated_total,8,48.375,241.375,0.10496,0.003,3.25,18.25,0.464,33692.625,2.867,2.844
low,initial_food,8,77.25,389.25,0.018,0.4769,14.25,72.5,0.6076,41114.125,1.0,1.0
low,relocated_early,8,32.875,166.75,0.018,0.3446,15.875,49.25,0.5509,33516.0,0.426,0.428
low,relocated_late,8,97.0,492.5,0.01802,0.3432,13.25,66.25,0.6107,34226.75,1.256,1.265
low,relocated_total,8,129.875,659.25,0.01802,0.3432,13.25,66.25,0.6107,34226.75,1.681,1.694
medium,initial_food,8,31.375,156.0,0.055,0.2081,10.0,67.375,0.5225,55084.0,1.0,1.0
medium,relocated_early,8,15.75,78.625,0.055,0.2331,9.75,58.875,0.5038,49056.625,0.502,0.504
medium,relocated_late,8,85.875,430.375,0.05499,0.1378,8.125,31.75,0.4996,30388.75,2.737,2.759
medium,relocated_total,8,101.625,509.0,0.05499,0.1378,8.125,31.75,0.4996,30388.75,3.239,3.263
