seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,4,4,0.5,initial_food,960,180,76,360,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3214550605,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,362,1948,34,0,0,89,90,0.0238,0.018,0.179,0.284,11,1.9,4,48,0.553,209,0,25.9,59.2,0.24,76,0,76,360,0,19,0,0,0,185,19,0,0,0,36,0,35,127,0,34,0,0,0,0,0,36,0,0,52341,0,20296,0,0,0
1,low,240,4,4,0.5,relocated_early,220,620,21,109,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2393626801,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,1,0,0,1,0,0,0,467,1943,14,0,0,89,91,0.0259,0.018,0.224,0.292,11,1.95,4,22,0.492,193,0,25.9,59,0.25,97,0,97,469,0,21.556,0,0,0,195,9,0,0,0,36,0,23,167,0,14,0,0,0,0,0,36,0,0,41509,0,21511,0,0,0
1,low,240,4,4,0.5,relocated_late,220,620,55,294,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,382029220,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,1,0,1,0,0,0,748,1922,54,0,0,88,90,0.0212,0.018,0.124,0.239,12,1.67,4,61,0.617,229,0,26,58.2,0.27,152,0,152,763,0,19,0,0,0,203,1,0,0,0,36,0,68,78,0,54,0,0,0,0,0,36,0,0,43184,0,25709,0,0,0
1,low,240,4,4,0.5,relocated_total,220,620,76,403,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,382029220,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,1,0,1,0,0,0,748,1922,54,0,0,88,90,0.0212,0.018,0.124,0.239,12,1.67,4,61,0.617,229,0,26,58.2,0.27,152,0,152,763,0,19,0,0,0,203,1,0,0,0,36,0,68,78,0,54,0,0,0,0,0,36,0,0,43184,0,25709,0,0,0
2,low,240,4,4,0.5,initial_food,960,180,102,499,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,425847542,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,509,1952,41,0,0,89,91,0.0268,0.018,0.265,0.423,16,2.05,9,51,0.57,175,0,25.9,59.2,0.24,102,0,102,499,0,25.5,0,0,0,203,0,0,0,0,37,0,45,113,0,41,0,0,0,0,0,37,0,0,32826,0,22733,0,0,0
2,low,240,4,4,0.5,relocated_early,220,620,29,140,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4135862282,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,1,0,1,0,0,0,646,1946,14,0,0,90,91,0.0258,0.018,0.222,0.279,17,1.71,4,26,0.514,188,0,25.9,59,0.24,131,0,131,639,0,29.111,0,0,0,203,0,0,0,0,37,0,62,122,0,14,0,0,0,0,0,37,0,2,24824,0,23540,0,0,0
2,low,240,4,4,0.5,relocated_late,220,620,81,399,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3845320584,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,153,51,37,0,0,0,0,0,0,0,1030,1923,50,0,0,90,91,0.0255,0.0181,0.236,0.389,13,1.94,7,54,0.622,191,0,26,58.2,0.27,212,0,212,1038,0,26.5,0,0,0,204,0,0,0,0,37,0,60,88,0,50,0,0,0,0,0,37,0,0,32822,0,21590,0,0,0
2,low,240,4,4,0.5,relocated_total,220,620,110,539,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3845320584,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,153,51,37,0,0,0,0,0,0,0,1030,1923,50,0,0,90,91,0.0255,0.0181,0.236,0.389,13,1.94,7,54,0.622,191,0,26,58.2,0.27,212,0,212,1038,0,26.5,0,0,0,204,0,0,0,0,37,0,60,88,0,50,0,0,0,0,0,37,0,0,32822,0,21590,0,0,0
3,low,240,4,4,0.5,initial_food,960,180,123,582,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,495315834,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,592,1945,46,0,0,91,91,0.0269,0.018,0.273,0.458,17,2.12,8,51,0.608,175,0,25.9,59.2,0.24,123,0,123,582,0,30.75,0,0,0,210,1,0,0,0,29,0,41,119,0,46,0,0,0,0,0,29,0,0,34439,0,20361,0,0,0
3,low,240,4,4,0.5,relocated_early,220,620,22,106,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3949759579,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,1,0,0,1,0,0,0,694,1940,24,0,0,91,91,0.026,0.018,0.235,0.31,17,1.82,5,36,0.536,193,0,25.9,59,0.25,145,0,145,688,0,32.222,0,0,0,211,0,0,0,0,29,0,70,114,0,24,0,0,0,0,0,29,0,2,27756,0,21570,0,0,0
3,low,240,4,4,0.5,relocated_late,220,620,84,418,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,898395097,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,1,0,0,1,0,0,0,1103,1920,45,0,0,90,91,0.0226,0.018,0.156,0.296,10,1.68,7,53,0.607,212,0,26,58.2,0.27,229,0,229,1106,0,28.625,0,0,0,211,0,0,0,0,29,0,94,70,0,45,0,0,0,0,0,29,0,0,25360,0,27551,0,0,0
3,low,240,4,4,0.5,relocated_total,220,620,106,524,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,898395097,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,1,0,0,1,0,0,0,1103,1920,45,0,0,90,91,0.0226,0.018,0.156,0.296,10,1.68,7,53,0.607,212,0,26,58.2,0.27,229,0,229,1106,0,28.625,0,0,0,211,0,0,0,0,29,0,94,70,0,45,0,0,0,0,0,29,0,0,25360,0,27551,0,0,0
4,low,240,4,4,0.5,initial_food,960,180,89,447,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,243974248,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,49,28,0,0,0,0,0,0,0,459,1954,58,0,0,89,91,0.0251,0.018,0.233,0.39,12,2.31,7,76,0.57,208,0,25.9,59.2,0.24,89,0,89,447,0,22.25,0,0,0,200,12,0,0,0,28,0,22,129,0,58,0,0,0,0,0,28,0,0,56293,0,19602,0,0,0
4,low,240,4,4,0.5,relocated_early,220,620,43,217,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4264538614,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,49,28,1,0,0,1,0,0,0,672,1947,17,0,0,91,91,0.026,0.018,0.23,0.246,12,1.83,4,31,0.473,192,0,25.9,59,0.25,132,0,132,664,0,29.333,0,0,0,212,0,0,0,0,28,0,27,166,0,17,0,0,0,0,0,28,0,1,41733,0,22445,0,0,0
4,low,240,4,4,0.5,relocated_late,220,620,88,432,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1038468331,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,163,49,29,0,0,0,0,0,0,0,1091,1924,55,0,0,91,91,0.0244,0.0182,0.204,0.385,14,1.94,8,62,0.6,200,1,26,58.2,0.27,220,0,220,1096,0,27.5,0,0,0,212,0,0,0,0,29,0,79,77,0,55,0,0,0,0,0,29,0,0,30584,0,25518,0,0,0
4,low,240,4,4,0.5,relocated_total,220,620,131,649,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1038468331,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,163,49,29,0,0,0,0,0,0,0,1091,1924,55,0,0,91,91,0.0244,0.0182,0.204,0.385,14,1.94,8,62,0.6,200,1,26,58.2,0.27,220,0,220,1096,0,27.5,0,0,0,212,0,0,0,0,29,0,79,77,0,55,0,0,0,0,0,29,0,0,30584,0,25518,0,0,0
