profile,phase,n,mean_phase_food_trips,mean_phase_food_collected,mean_avg_turn_noise,mean_avg_base_turn_noise,mean_avg_exploration_drive,mean_avg_traffic_load,mean_traffic_max_cell,mean_ants_with_food_memory,mean_food_memory_strength,mean_food_pheromone,trips_vs_initial,collected_vs_initial
diverse,initial_food,8,23.75,118.25,0.06171,0.0604,0.0511,0.0995,7.5,46.375,0.5947,47006.375,1.0,1.0
diverse,relocated_early,8,11.0,54.5,0.06464,0.0604,0.1026,0.1035,7.5,41.125,0.5856,43214.625,0.463,0.461
diverse,relocated_late,8,68.75,346.375,0.06265,0.06041,0.0651,0.098,7.125,35.125,0.5881,37338.625,2.895,2.929
diverse,relocated_total,8,79.75,400.875,0.06265,0.06041,0.0651,0.098,7.125,35.125,0.5881,37338.625,3.358,3.39
high,initial_food,8,16.625,80.75,0.10355,0.105,0.0018,0.0019,3.0,18.375,0.4735,24147.625,1.0,1.0
high,relocated_early,8,4.125,21.875,0.10531,0.105,0.0175,0.0036,3.375,26.375,0.4723,30939.0,0.248,0.271
high,relocated_late,8,45.0,228.5,0.10362,0.10487,0.0043,0.0036,3.5,18.75,0.469,34706.75,2.707,2.83
high,relocated_total,8,49.125,250.375,0.10362,0.10487,0.0043,0.0036,3.5,18.75,0.469,34706.75,2.955,3.101
low,initial_food,8,88.375,433.875,0.02552,0.018,0.2375,0.401,14.875,60.875,0.5922,43814.75,1.0,1.0
low,relocated_early,8,30.75,155.5,0.02615,0.018,0.2353,0.2903,13.75,31.5,0.5184,34263.125,0.348,0.358
low,relocated_late,8,82.625,412.625,0.02369,0.01804,0.1864,0.3241,12.75,57.25,0.5933,34778.25,0.935,0.951
low,relocated_total,8,113.375,568.125,0.02369,0.01804,0.1864,0.3241,12.75,57.25,0.5933,34778.25,1.283,1.309
medium,initial_food,8,20.125,105.0,0.0573,0.055,0.0455,0.0817,7.0,47.375,0.5245,51356.0,1.0,1.0
medium,relocated_early,8,6.5,32.75,0.06084,0.055,0.092,0.0897,6.625,46.625,0.5285,51471.0,0.323,0.312
medium,relocated_late,8,29.875,152.75,0.06065,0.05499,0.0926,0.1364,7.25,54.75,0.5316,43053.75,1.484,1.455
medium,relocated_total,8,36.375,185.5,0.06065,0.05499,0.0926,0.1364,7.25,54.75,0.5316,43053.75,1.807,1.767
