seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,initial_food,960,180,0,0,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2389598119,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,29,1983,27,0,0,85,87,0.018,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,1,205,0,0,0,34,0,122,53,0,27,0,0,0,0,0,34,22738,0,31150,0,0,0
1,low,240,2,2,relocated_food,960,600,37,192,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,320776501,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,194,1950,1,0,0,88,91,0.018,240,0,25.9,59.2,0.24,37,0,37,192,0,9.25,0,0,0,206,0,0,0,0,34,0,34,171,0,1,0,0,0,0,0,34,16094,0,24076,0,0,0
2,low,240,2,2,initial_food,960,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,989911047,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1980,44,0,0,85,88,0.018,240,0,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,198,6,0,0,0,36,0,85,72,0,44,0,0,0,0,0,36,39359,0,28975,0,0,0
2,low,240,2,2,relocated_food,960,600,46,214,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3029716398,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,266,1958,6,0,0,87,90,0.018,240,0,25.9,59.2,0.24,53,0,53,252,0,13.25,0,0,0,203,1,0,0,0,36,0,17,181,0,6,0,0,0,0,0,36,31872,0,29548,0,0,0
3,low,240,2,2,initial_food,960,180,1,5,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4009662904,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,33,1980,57,0,0,85,88,0.018,240,0,25.6,61.5,0.18,1,0,1,5,0,0.5,0,0,0,35,182,0,0,0,23,0,91,68,0,57,0,0,0,0,0,23,42784,0,30191,0,0,0
3,low,240,2,2,relocated_food,960,600,72,358,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4256695182,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,367,1951,70,0,0,90,91,0.018,240,0,25.9,59.2,0.24,73,0,73,363,0,18.25,0,0,0,216,1,0,0,0,23,0,44,92,0,70,0,0,0,0,0,23,29242,0,25609,0,0,0
1,medium,240,2,2,initial_food,960,180,7,35,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2775918439,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,63,1979,28,0,0,85,88,0.055,0,0,25.6,61.5,0.18,7,0,7,35,0,3.5,0,0,0,192,14,0,0,0,34,0,122,54,0,28,0,0,0,0,0,34,29592,0,30631,0,0,0
1,medium,240,2,2,relocated_food,960,600,8,36,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2653661042,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,84,1958,38,0,0,85,89,0.055,0,0,25.9,59.2,0.24,15,0,15,71,0,3.75,0,0,0,197,9,0,0,0,34,0,82,84,0,38,0,0,0,0,0,34,48083,0,28883,0,0,0
2,medium,240,2,2,initial_food,960,180,10,53,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3355673829,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,82,1979,27,0,0,86,88,0.055,0,0,25.6,61.5,0.18,10,0,10,53,0,5,0,0,0,199,5,0,0,0,36,0,140,33,0,27,0,0,0,0,0,36,24652,0,30613,0,0,0
2,medium,240,2,2,relocated_food,960,600,26,124,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3039030758,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,192,1958,36,0,0,86,90,0.055,0,0,25.9,59.2,0.24,36,0,36,177,0,9,0,0,0,203,1,0,0,0,36,0,64,103,0,36,0,0,0,0,0,36,55201,0,27454,0,0,0
