seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,initial_food,250,180,6,30,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4276957339,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,59,1982,45,0,0,85,87,0.018,240,0,25.6,61.5,0.18,6,0,6,30,0,3,0,0,0,195,11,0,0,0,34,0,82,64,0,45,0,0,0,0,0,34,46459,0,29182,0,0,0
1,low,240,2,2,relocated_food,960,600,66,333,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,146662577,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,374,1957,59,0,0,88,89,0.018,240,0,25.9,59.2,0.24,72,0,72,363,0,18,0,0,0,206,0,0,0,0,34,0,49,80,0,59,0,0,0,0,0,34,24083,0,26939,0,0,0
2,low,240,2,2,initial_food,250,180,1,4,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1928877921,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,34,1983,50,0,0,85,87,0.018,240,0,25.6,61.5,0.18,1,0,1,4,0,0.5,0,0,0,42,162,0,0,0,36,0,74,67,0,50,0,0,0,0,0,36,40285,0,28277,0,0,0
2,low,240,2,2,relocated_food,960,600,53,263,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2609675030,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,283,1961,53,0,0,87,89,0.018,240,0,25.9,59.2,0.24,54,0,54,267,0,13.5,0,0,0,185,19,0,0,0,36,0,12,132,0,53,0,0,0,0,0,36,61842,0,21401,0,0,0
3,low,240,2,2,initial_food,250,180,3,14,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,90285516,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,43,1981,28,0,0,85,88,0.018,240,0,25.6,61.5,0.18,3,0,3,14,0,1.5,0,0,0,132,85,0,0,0,23,0,99,78,0,28,0,0,0,0,0,23,30032,0,32756,0,0,0
3,low,240,2,2,relocated_food,960,600,54,258,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2377497901,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,284,1956,59,0,0,88,90,0.018,240,0,25.9,59.2,0.24,57,0,57,272,0,14.25,0,0,0,216,1,0,0,0,23,0,30,113,0,59,0,0,0,0,0,23,41374,0,27606,0,0,0
1,medium,240,2,2,initial_food,250,180,15,74,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1757410009,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,102,1980,32,0,0,85,88,0.055,0,0,25.6,61.5,0.18,15,0,15,74,0,7.5,0,0,0,194,12,0,0,0,34,0,112,52,0,32,0,0,0,0,0,34,34329,0,30300,0,0,0
1,medium,240,2,2,relocated_food,960,600,23,116,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2458405914,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,208,1962,98,0,0,85,89,0.055,0,0,25.9,59.2,0.24,38,0,38,190,0,9.5,0,0,0,201,5,0,0,0,34,0,44,53,0,98,0,0,0,0,0,34,67079,0,23951,0,0,0
2,medium,240,2,2,initial_food,250,180,8,36,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1537549040,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,64,1980,33,0,0,86,88,0.055,0,0,25.6,61.5,0.18,8,0,8,36,0,4,0,0,0,184,20,0,0,0,36,0,99,68,0,33,0,0,0,0,0,36,34987,0,29907,0,0,0
2,medium,240,2,2,relocated_food,960,600,74,365,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1193958412,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,414,1957,19,0,0,89,90,0.055,0,0,25.9,59.2,0.24,82,0,82,401,0,20.5,0,0,0,204,0,0,0,0,36,0,39,135,0,19,0,0,0,0,0,36,44277,0,26037,0,0,0
3,medium,240,2,2,initial_food,250,180,4,20,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3783954508,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,47,1978,40,0,0,86,88,0.055,0,0,25.6,61.5,0.18,4,0,4,20,0,2,0,0,0,183,34,0,0,0,23,0,106,65,0,40,0,0,0,0,0,23,35330,0,31955,0,0,0
3,medium,240,2,2,relocated_food,960,600,93,448,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1867238629,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,482,1956,55,0,0,89,90,0.055,0,0,25.9,59.2,0.24,97,0,97,468,0,24.25,0,0,0,215,2,0,0,0,23,0,36,109,0,55,0,0,0,0,0,23,53166,0,24914,0,0,0
1,diverse,240,2,2,initial_food,250,180,4,19,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3676776683,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,46,1978,36,0,0,85,88,0.0604,72,72,25.6,61.5,0.18,4,0,4,19,0,2,0,0,0,67,139,0,0,0,34,0,99,59,0,36,0,0,0,0,0,34,33700,0,30112,0,0,0
1,diverse,240,2,2,relocated_food,960,600,48,246,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,803170831,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,282,1960,49,0,0,86,89,0.0604,72,72,25.9,59.2,0.24,52,0,52,265,0,13,0,0,0,187,19,0,0,0,34,0,23,127,0,49,0,0,0,0,0,34,69037,0,25256,0,0,0
2,diverse,240,2,2,initial_food,250,180,4,18,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3684800884,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,44,1977,35,0,0,86,88,0.0604,72,72,25.6,61.5,0.18,4,0,4,18,0,2,0,0,0,98,106,0,0,0,36,0,93,64,0,35,0,0,0,0,0,36,37439,0,29572,0,0,0
2,diverse,240,2,2,relocated_food,960,600,64,319,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2856594516,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,347,1956,31,0,0,89,90,0.0604,72,72,25.9,59.2,0.24,68,0,68,337,0,17,0,0,0,204,0,0,0,0,36,0,33,127,0,31,0,0,0,0,0,36,38106,0,25419,0,0,0
3,diverse,240,2,2,initial_food,250,180,10,43,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3862063100,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,70,1978,23,0,0,86,88,0.0604,72,72,25.6,61.5,0.18,10,0,10,43,0,5,0,0,0,192,25,0,0,0,23,0,136,50,0,23,0,0,0,0,0,23,25231,0,32481,0,0,0
3,diverse,240,2,2,relocated_food,960,600,30,155,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2135478476,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,212,1958,43,0,0,87,89,0.0604,72,72,25.9,59.2,0.24,40,0,40,198,0,10,0,0,0,213,4,0,0,0,23,0,47,119,0,43,0,0,0,0,0,23,50111,0,30059,0,0,0
