seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,initial_food,250,180,0,0,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1613187769,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,29,1982,30,0,0,85,87,0.018,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,2,204,0,0,0,34,0,108,65,0,30,0,0,0,0,0,34,33279,0,30722,0,0,0
1,low,240,2,2,relocated_food,960,600,47,231,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3500072509,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,244,1959,35,0,0,87,89,0.018,240,0,25.9,59.2,0.24,47,0,47,231,0,11.75,0,0,0,203,3,0,0,0,34,0,17,148,0,35,0,0,0,0,0,34,44226,0,28684,0,0,0
2,low,240,2,2,initial_food,250,180,5,26,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4014680656,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,54,1979,52,0,0,86,88,0.018,240,0,25.6,61.5,0.18,5,0,5,26,0,2.5,0,0,0,178,26,0,0,0,36,0,89,58,0,52,0,0,0,0,0,36,38197,0,28381,0,0,0
2,low,240,2,2,relocated_food,960,600,125,639,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1148036361,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,679,1957,65,0,0,90,90,0.018,240,0,25.9,59.2,0.24,130,0,130,665,0,32.5,0,0,0,203,1,0,0,0,36,0,65,65,0,65,0,0,0,0,0,36,24115,0,25965,0,0,0
3,low,240,2,2,initial_food,250,180,10,49,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2885495710,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,78,1981,32,0,0,86,88,0.018,240,0,25.6,61.5,0.18,10,0,10,49,0,5,0,0,0,208,9,0,0,0,23,0,96,87,0,32,0,0,0,0,0,23,34329,0,32365,0,0,0
3,low,240,2,2,relocated_food,960,600,92,461,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3339452170,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,520,1953,80,0,0,90,90,0.018,240,0,25.9,59.2,0.24,102,0,102,510,0,25.5,0,0,0,217,0,0,0,0,23,0,46,86,0,80,0,0,0,0,0,23,32256,0,25796,0,0,0
1,medium,240,2,2,initial_food,250,180,14,65,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,936846688,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,93,1979,30,0,0,85,88,0.055,0,0,25.6,61.5,0.18,14,0,14,65,0,7,0,0,0,198,8,0,0,0,34,0,126,40,0,30,0,0,0,0,0,34,26977,0,30646,0,0,0
1,medium,240,2,2,relocated_food,960,600,47,229,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1276989966,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,310,1961,45,0,0,87,89,0.055,0,0,25.9,59.2,0.24,61,0,61,294,0,15.25,0,0,0,203,3,0,0,0,34,0,50,102,0,45,0,0,0,0,0,34,58752,0,27129,0,0,0
2,medium,240,2,2,initial_food,250,180,8,34,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3978044438,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,63,1980,25,0,0,86,88,0.055,0,0,25.6,61.5,0.18,8,0,8,34,0,4,0,0,0,195,9,0,0,0,36,0,130,47,0,25,0,0,0,0,0,36,24656,0,30635,0,0,0
2,medium,240,2,2,relocated_food,960,600,11,53,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3960159184,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,98,1957,40,0,0,86,90,0.055,0,0,25.9,59.2,0.24,19,0,19,87,0,4.75,0,0,0,198,6,0,0,0,36,0,75,89,0,40,0,0,0,0,0,36,42489,0,28139,0,0,0
