seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,initial_food,250,180,9,48,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3837001428,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,76,1981,58,0,0,85,87,0.018,240,0,25.6,61.5,0.18,9,0,9,48,0,4.5,0,0,0,188,18,0,0,0,34,0,79,63,0,58,0,0,0,0,0,34,45156,0,28497,0,0,0
1,low,240,2,2,relocated_food,960,600,59,298,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1349716817,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,358,1956,8,0,0,88,90,0.018,240,0,25.9,59.2,0.24,68,0,68,346,0,17,0,0,0,203,3,0,0,0,34,0,8,189,0,8,0,0,0,0,0,34,45918,0,28262,0,0,0
2,low,240,2,2,initial_food,250,180,12,62,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1270107874,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,93,1983,44,0,0,85,87,0.018,240,0,25.6,61.5,0.18,12,0,12,62,0,6,0,0,0,191,13,0,0,0,36,0,94,54,0,44,0,0,0,0,0,36,44021,0,28944,0,0,0
2,low,240,2,2,relocated_food,960,600,96,445,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1799404479,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,525,1961,36,0,0,89,89,0.018,240,0,25.9,59.2,0.24,108,0,108,507,0,27,0,0,0,204,0,0,0,0,36,0,9,153,0,36,0,0,0,0,0,36,57065,0,26317,0,0,0
3,low,240,2,2,initial_food,250,180,6,30,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,252065674,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,59,1982,43,0,0,85,87,0.018,240,0,25.6,61.5,0.18,6,0,6,30,0,3,0,0,0,198,19,0,0,0,23,0,81,80,0,43,0,0,0,0,0,23,42412,0,31288,0,0,0
3,low,240,2,2,relocated_food,960,600,67,343,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2437889528,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,387,1958,32,0,0,88,90,0.018,240,0,25.9,59.2,0.24,73,0,73,373,0,18.25,0,0,0,217,0,0,0,0,23,0,24,151,0,32,0,0,0,0,0,23,40216,0,30618,0,0,0
1,medium,240,2,2,initial_food,250,180,5,25,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1163787508,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,53,1979,23,0,0,85,88,0.055,0,0,25.6,61.5,0.18,5,0,5,25,0,2.5,0,0,0,181,25,0,0,0,34,0,138,43,0,23,0,0,0,0,0,34,24511,0,31341,0,0,0
1,medium,240,2,2,relocated_food,960,600,35,166,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3649797093,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,202,1956,28,0,0,86,90,0.055,0,0,25.9,59.2,0.24,40,0,40,191,0,10,0,0,0,201,5,0,0,0,34,0,74,98,0,28,0,0,0,0,0,34,43183,0,27749,0,0,0
2,medium,240,2,2,initial_food,250,180,11,55,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,265192926,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,84,1979,30,0,0,86,88,0.055,0,0,25.6,61.5,0.18,11,0,11,55,0,5.5,0,0,0,197,7,0,0,0,36,0,109,57,0,30,0,0,0,0,0,36,32383,0,29970,0,0,0
2,medium,240,2,2,relocated_food,960,600,35,183,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1455923662,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,254,1959,29,0,0,87,89,0.055,0,0,25.9,59.2,0.24,46,0,46,238,0,11.5,0,0,0,202,2,0,0,0,36,0,52,119,0,29,0,0,0,0,0,36,55055,0,28368,0,0,0
