seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,0.5,initial_food,960,180,4,19,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,787380696,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,47,1978,45,0,0,85,88,0.018,0.015,6,1.49,0,45,0.671,240,0,25.6,61.5,0.18,4,0,4,19,0,2,0,0,0,156,50,0,0,0,34,0,87,71,0,45,0,0,0,0,0,34,0,0,35325,0,29782,0,0,0
1,low,240,2,2,0.5,relocated_early,220,620,11,51,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1772300890,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,94,1972,37,0,0,85,88,0.018,0.031,7,1.58,0,48,0.619,240,0,25.7,60.7,0.2,15,0,15,70,0,6,0,0,0,173,33,0,0,0,34,0,63,102,0,37,0,0,0,0,0,34,0,4,44419,0,28515,0,0,0
1,low,240,2,2,0.5,relocated_late,220,620,35,173,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,916800174,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,254,1953,24,0,0,87,90,0.018,0.061,9,1.69,0,24,0.669,240,0,25.9,59.2,0.24,50,0,50,243,0,12.5,0,0,0,205,1,0,0,0,34,0,45,133,0,24,0,0,0,0,0,34,0,0,28650,0,29803,0,0,0
1,low,240,2,2,0.5,relocated_total,220,620,46,224,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,916800174,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,254,1953,24,0,0,87,90,0.018,0.061,9,1.69,0,24,0.669,240,0,25.9,59.2,0.24,50,0,50,243,0,12.5,0,0,0,205,1,0,0,0,34,0,45,133,0,24,0,0,0,0,0,34,0,0,28650,0,29803,0,0,0
2,low,240,2,2,0.5,initial_food,960,180,2,12,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,552783039,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,41,1981,45,0,0,85,88,0.018,0.008,6,1.4,0,45,0.672,240,0,25.6,61.5,0.18,2,0,2,12,0,1,0,0,0,110,94,0,0,0,36,0,97,59,0,45,0,0,0,0,0,36,0,0,35915,0,29551,0,0,0
2,low,240,2,2,0.5,relocated_early,220,620,3,16,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,278148274,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,55,1977,43,0,0,85,88,0.018,0.027,9,1.63,0,46,0.657,240,0,25.7,60.7,0.2,5,0,5,28,0,2,0,0,0,152,52,0,0,0,36,0,79,81,0,43,0,0,0,0,0,36,0,1,47999,0,28067,0,0,0
2,low,240,2,2,0.5,relocated_late,220,620,42,216,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1370494705,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,259,1959,23,0,0,86,90,0.018,0.054,9,1.8,0,33,0.553,240,0,25.9,59.2,0.24,47,0,47,244,0,11.75,0,0,0,204,0,0,0,0,36,0,40,139,0,23,0,0,0,0,0,36,0,2,46085,0,28373,0,0,0
2,low,240,2,2,0.5,relocated_total,220,620,45,232,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1370494705,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,259,1959,23,0,0,86,90,0.018,0.054,9,1.8,0,33,0.553,240,0,25.9,59.2,0.24,47,0,47,244,0,11.75,0,0,0,204,0,0,0,0,36,0,40,139,0,23,0,0,0,0,0,36,0,2,46085,0,28373,0,0,0
3,low,240,2,2,0.5,initial_food,960,180,3,15,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2324512066,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,44,1981,53,0,0,85,88,0.018,0.021,7,1.45,0,55,0.652,240,0,25.6,61.5,0.18,3,0,3,15,0,1.5,0,0,0,102,115,0,0,0,23,0,87,75,0,53,0,0,0,0,0,23,0,0,41537,0,30173,0,0,0
3,low,240,2,2,0.5,relocated_early,220,620,2,9,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4203925282,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,50,1976,56,0,0,85,88,0.018,0.034,7,1.82,0,58,0.653,240,0,25.7,60.7,0.2,5,0,5,24,0,2,0,0,0,166,51,0,0,0,23,0,51,109,0,56,0,0,0,0,0,23,0,1,53695,0,28686,0,0,0
