seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,2,0.5,initial_food,960,180,7,35,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2862910034,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,60,1975,54,0,0,85,88,0.018,0.149,8,1.61,2,56,0.665,240,0,25.6,61.5,0.18,7,0,7,35,0,3.5,0,0,0,181,25,0,0,0,34,0,87,63,0,54,0,0,0,0,0,34,0,0,39594,0,27132,0,0,0
1,low,240,2,2,0.5,relocated_early,220,620,25,128,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1906121251,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,184,1968,35,0,0,86,89,0.018,0.276,13,1.76,3,52,0.515,240,0,25.7,60.7,0.2,32,0,32,163,0,12.8,0,0,0,194,12,0,0,0,34,0,67,100,0,35,0,0,0,0,0,34,0,4,40415,0,25613,0,0,0
1,low,240,2,2,0.5,relocated_late,220,620,48,244,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2300876417,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,416,1951,24,0,0,88,91,0.018,0.283,11,1.62,6,27,0.633,240,0,25.9,59.2,0.24,80,0,80,407,0,20,0,0,0,205,1,0,0,0,34,0,84,93,0,24,0,0,0,0,0,34,0,0,25777,0,26164,0,0,0
1,low,240,2,2,0.5,relocated_total,220,620,73,372,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2300876417,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,416,1951,24,0,0,88,91,0.018,0.283,11,1.62,6,27,0.633,240,0,25.9,59.2,0.24,80,0,80,407,0,20,0,0,0,205,1,0,0,0,34,0,84,93,0,24,0,0,0,0,0,34,0,0,25777,0,26164,0,0,0
2,low,240,2,2,0.5,initial_food,960,180,0,0,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2109297864,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,28,1979,37,0,0,85,88,0.018,0.116,8,1.49,2,37,0.669,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,3,201,0,0,0,36,0,93,70,0,37,0,0,0,0,0,36,0,0,31662,0,29715,0,0,0
2,low,240,2,2,0.5,relocated_early,220,620,4,24,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4166391296,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,49,1974,40,0,0,85,89,0.018,0.12,7,1.54,1,44,0.636,240,0,25.7,60.7,0.2,4,0,4,24,0,1.6,0,0,0,72,132,0,0,0,36,0,69,92,0,40,0,0,0,0,0,36,0,1,44580,0,28132,0,0,0
2,low,240,2,2,0.5,relocated_late,220,620,47,248,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2161404424,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,278,1950,37,0,0,88,91,0.018,0.431,11,2.16,7,40,0.648,240,0,25.9,59.2,0.24,51,0,51,272,0,12.75,0,0,0,203,1,0,0,0,36,0,39,126,0,37,0,0,0,0,0,36,0,1,39283,0,21324,0,0,0
2,low,240,2,2,0.5,relocated_total,220,620,51,272,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2161404424,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,278,1950,37,0,0,88,91,0.018,0.431,11,2.16,7,40,0.648,240,0,25.9,59.2,0.24,51,0,51,272,0,12.75,0,0,0,203,1,0,0,0,36,0,39,126,0,37,0,0,0,0,0,36,0,1,39283,0,21324,0,0,0
3,low,240,2,2,0.5,initial_food,960,180,1,4,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4035123730,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,33,1981,58,0,0,85,87,0.018,0.163,8,1.54,4,59,0.659,240,0,25.6,61.5,0.18,1,0,1,4,0,0.5,0,0,0,16,201,0,0,0,23,0,105,54,0,58,0,0,0,0,0,23,0,0,33126,0,29735,0,0,0
3,low,240,2,2,0.5,relocated_early,220,620,4,21,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2013399560,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,50,1975,63,0,0,85,88,0.018,0.194,9,1.68,5,67,0.649,240,0,25.7,60.7,0.2,5,0,5,25,0,2,0,0,0,100,117,0,0,0,23,0,70,84,0,63,0,0,0,0,0,23,0,0,48623,0,27078,0,0,0
